Valor,Saldo_Anterior,Mudanca_Dispositivo,Horario,Novo_Destino,Fraude
8410.84,12355.61,0,9,0,0
228.02,4234.28,1,1,1,1
4446.0,11649.95,1,22,0,1
4977.51,20635.8,0,0,1,1
6106.15,17497.23,1,22,0,1
8036.77,26858.38,1,2,0,1
7022.09,13144.74,0,18,0,0
6506.73,22189.77,0,13,0,0
4964.4,20484.22,0,13,0,0
452.48,7585.87,0,11,0,0
7695.36,22844.81,0,4,1,1
7585.05,19853.18,1,22,1,1
6689.2,25844.3,0,11,0,0
1214.44,19111.72,0,18,0,0
8523.29,18235.78,1,6,1,1
6606.42,12220.1,0,3,1,1
8421.57,19896.56,1,4,1,1
3999.96,9942.31,1,14,0,0
6524.31,26003.73,0,8,0,0
8902.07,16699.53,1,23,1,1
6719.02,13714.85,1,0,1,1
965.53,8274.23,0,12,1,0
6903.15,20462.74,0,6,1,1
8537.03,8917.35,1,8,0,0
4320.14,16383.27,1,8,1,0
1634.54,18307.86,1,0,1,1
569.0,20307.55,0,9,0,0
250.15,8442.19,0,12,0,0
3465.32,5168.88,1,4,1,1
3559.61,20568.13,0,16,0,0
5255.39,9185.65,0,19,0,0
3361.28,17300.35,0,20,0,0
1856.7,3270.3,1,22,1,1
1766.34,21053.45,0,18,0,0
9209.21,9475.65,1,2,1,1
2256.14,13241.36,0,10,0,0
6857.87,12476.82,1,16,1,0
2881.7,20684.55,0,18,0,0
2461.04,15216.25,0,2,0,1
2893.42,21721.72,1,23,0,1
6884.47,14973.56,0,2,1,1
3293.36,20277.03,1,1,1,1
2891.17,11843.73,1,4,1,1
9685.2,29337.37,1,4,1,1
9576.68,27591.94,1,3,1,1
3641.93,9200.11,0,16,0,0
661.39,6798.76,0,23,1,1
6693.53,18028.88,0,0,0,1
6082.97,19708.94,1,22,1,1
6281.71,13849.49,1,11,0,0
5887.26,15185.66,0,20,0,0
9341.26,17597.89,0,15,1,0
7371.76,11737.12,0,8,0,0
5513.44,22447.48,0,8,0,0
1515.09,7012.37,0,17,0,0
837.21,18592.58,1,8,0,0
5816.55,14894.79,0,19,0,0
903.22,17684.01,0,5,1,1
1547.42,20948.96,1,6,0,1
4054.92,15245.43,0,19,0,0
6571.51,25813.81,0,12,0,0
1179.28,11272.27,0,18,0,0
5404.17,12324.52,0,23,1,1
863.81,12351.45,0,19,0,0
7976.29,17772.87,1,0,1,1
4790.12,24276.19,0,20,1,0
4226.02,12561.61,0,14,0,0
8610.09,16138.86,0,11,0,0
7637.36,22313.4,0,13,0,0
6836.12,21643.55,1,22,1,1
1762.13,19270.08,0,13,0,0
1632.98,9543.82,0,17,0,0
3471.05,16927.65,0,8,0,0
4267.55,4572.21,1,4,0,1
2045.63,12184.3,1,3,1,1
5990.6,25115.94,1,0,1,1
8986.56,9423.82,0,0,0,1
5365.6,21319.56,0,3,0,1
5627.35,19614.22,0,1,1,1
